Protein Accession;Protein Name;Gene ID;Protein Description;MPT896_2690;MPT897_2691;MPT898_2692;MPT899_2693;MPT900_2694;MPT901_2695;MPT902_2696;MPT903_2697;MPT904_2698;MPT905_2699;MPT906_2700;MPT907_2701;MPT908_2702;MPT909_2703;MPT910_2704;MPT911_2705;MPT912_2706;MPT913_2707;MPT914_2708;MPT915_2709
O15173;PGRC2_HUMAN;PGRMC2;Membrane-associated progesterone receptor component 2;120.8439;139.1653;92.4728;133.8076;91.0782;123.3679;136.2723;88.2376;119.8873;126.2814;139.5406;102.5415;124.6766;;103.9474;150.0713;117.7873;133.4412;108.5296;125.6421
O15182;CETN3_HUMAN;CETN3;Centrin-3;459.5372;305.6196;254.4886;526.6102;660.1238;545.9537;358.8067;259.4891;708.9431;642.4617;385.1092;328.3443;294.4171;700.7755;412.7007;261.6332;401.0956;312.3969;644.4811;564.9024
O15212;PFD6_HUMAN;PFDN6;Prefoldin subunit 6;68.8647;126.1468;113.004;145.3526;;118.0936;116.7035;129.5255;124.2555;211.0213;179.9431;160.9601;137.0911;;96.1796;185.2915;166.2507;125.5422;;88.1357
O15228;GNPAT_HUMAN;GNPAT;Dihydroxyacetone phosphate acyltransferase;94.1965;78.4934;79.9391;57.5878;82.7972;;79.9959;75.1761;51.8365;62.7844;58.268;76.3172;53.6901;;;81.4732;68.314;65.7949;;67.5877
O15230;LAMA5_HUMAN;LAMA5;Laminin subunit alpha-5;585.2015;1331.2588;1828.9843;931.5335;1206.2637;547.2836;1341.1249;1414.4108;870.9723;840.3265;462.0742;343.6361;421.2464;370.8745;486.7166;422.251;346.4052;419.0264;283.2282;281.1487
O15231;ZN185_HUMAN;ZNF185;Zinc finger protein 185;126.4846;51.7938;49.8272;62.2811;336.126;;47.5748;53.3506;71.6754;;107.6294;98.1528;99.9586;66.5166;119.3033;193.9365;106.3364;67.925;75.6433;75.0613
O15234;CASC3_HUMAN;CASC3;Protein CASC3;183.3174;191.2329;121.9593;113.2704;;166.8073;162.0797;135.0119;189.4669;201.151;75.3701;113.0059;87.0895;99.8389;127.5117;114.3824;83.2345;90.4017;151.4275;129.6431
O15235;RT12_HUMAN;MRPS12;Small ribosomal subunit protein uS12m;591.3453;404.4347;468.8959;362.9348;;1072.5038;487.4806;598.7423;753.554;656.8069;191.7092;253.6624;183.3164;356.7335;303.3629;322.4743;266.7342;403.2766;536.913;
O15254;ACOX3_HUMAN;ACOX3;Peroxisomal acyl-coenzyme A oxidase 3;44.7859;40.7799;25.3238;40.8114;160.1354;;57.4145;22.1598;32.5932;49.9861;43.403;42.4578;33.1976;45.5269;78.1687;43.9155;38.7622;42.1246;35.5878;83.69
O15260;SURF4_HUMAN;SURF4;Surfeit locus protein 4;400.1094;347.5215;116.4336;227.1992;268.4478;661.7538;306.157;180.7184;282.1577;233.3509;332.1317;211.7466;239.3533;140.9957;242.0055;472.3161;346.2043;258.9341;135.8111;465.1277
O15269;SPTC1_HUMAN;SPTLC1;Serine palmitoyltransferase 1;101.9657;62.1944;47.2358;105.2921;97.0927;66.4565;67.4706;43.4439;88.1723;108.0424;113.2538;77.6681;117.2898;59.8741;73.2282;125.4484;104.8535;105.4033;57.2811;79.8991
O15294;OGT1_HUMAN;OGT;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit;95.5711;97.8518;73.8154;98.7848;128.4375;101.8201;85.7535;74.7514;119.1391;91.5906;101.9572;82.3839;72.9658;105.1939;94.3427;122.8229;85.6738;62.0557;122.9193;74.4217
O15347;HMGB3_HUMAN;HMGB3;High mobility group protein B3;340.498;1002.7332;796.9203;301.6635;345.0723;365.6873;669.4723;877.5815;349.7137;441.246;436.0871;493.897;321.6141;257.478;372.2719;553.3458;600.6036;306.2089;350.238;278.653
O15355;PPM1G_HUMAN;PPM1G;Protein phosphatase 1G;210.6919;603.119;397.2909;369.7101;559.7272;168.4692;292.4083;384.3453;316.028;585.3185;490.2944;693.8387;281.7653;285.4028;353.1924;748.1231;558.2639;289.9317;280.1136;266.739
O15382;BCAT2_HUMAN;BCAT2;Branched-chain-amino-acid aminotransferase, mitochondrial;138.455;179.8289;258.0837;198.4059;151.3826;;159.7345;304.0763;144.1315;158.7691;125.9074;84.6759;124.426;127.2441;85.7179;100.7573;68.4134;100.0334;118.6824;72.4227
O15400;STX7_HUMAN;STX7;Syntaxin-7;;149.4055;217.6043;88.8901;84.7579;125.6013;140.0942;185.8537;62.2748;68.7067;207.9884;233.6575;185.7401;112.9848;200.2927;226.9987;147.859;200.4807;117.94;98.5746
O15427;MOT4_HUMAN;SLC16A3;Monocarboxylate transporter 4;94.1726;57.6807;50.0085;125.2163;86.5501;;64.1099;57.5024;87.6086;86.858;190.4614;115.6108;278.5109;189.1927;243.8838;183.8865;140.9963;396.0529;183.0867;298.6516
O15446;RPA34_HUMAN;POLR1G;DNA-directed RNA polymerase I subunit RPA34;1060.931;790.0983;422.1333;421.0376;805.8107;1570.4502;862.8243;617.0868;944.0469;918.5581;471.7728;468.213;359.4563;620.7826;694.149;756.0457;418.2277;352.6437;637.3304;593.7913
O15511;ARPC5_HUMAN;ARPC5;Actin-related protein 2/3 complex subunit 5;208.8927;264.759;200.1293;408.1432;433.6667;235.5133;312.3082;193.1841;566.1649;434.5408;208.956;277.7219;317.0843;513.9989;393.3161;134.608;207.7438;223.6935;409.54;204.3828
O15523;DDX3Y_HUMAN;DDX3Y;ATP-dependent RNA helicase DDX3Y;;218.2265;192.9806;66.0951;;87.7421;129.2751;131.2591;73.7295;87.3128;;;;;;;;;;
O15533;TPSN_HUMAN;TAPBP;Tapasin;113.8801;176.8872;111.9413;169.047;181.2367;110.9246;123.8662;102.2352;138.0269;198.0553;206.9586;209.4646;139.6496;160.8214;234.1345;186.7579;175.135;185.1615;247.0377;280.7957
O43143;DHX15_HUMAN;DHX15;ATP-dependent RNA helicase DHX15;1072.1104;2445.6631;1896.1871;1140.0969;1316.8146;1418.6331;2182.9077;1596.1301;1216.0216;1348.4971;2263.0237;2014.0468;1550.1816;2199.8118;1907.5038;2027.2781;2273.8718;1961.4875;2088.4941;2415.4985
O43157;PLXB1_HUMAN;PLXNB1;Plexin-B1;79.4374;113.851;76.1023;127.2802;111.3038;;79.8504;68.853;156.9243;129.6831;151.0851;143.1214;128.7583;155.9504;213.2696;191.6475;129.1042;175.6566;153.399;168.6427
O43169;CYB5B_HUMAN;CYB5B;Cytochrome b5 type B;65.5031;43.8748;70.3629;47.3117;;;44.4336;98.4491;146.7896;51.9367;58.4912;39.6608;72.7052;55.2717;;46.9855;40.9134;73.3601;85.3664;39.7273
O43172;PRP4_HUMAN;PRPF4;U4/U6 small nuclear ribonucleoprotein Prp4;433.2193;369.7531;559.8432;382.0356;411.0238;468.006;399.1938;496.9249;603.3145;432.5276;412.7084;490.3672;392.2961;794.3304;648.5728;527.287;513.3578;438.9254;844.7288;776.432
O43175;SERA_HUMAN;PHGDH;D-3-phosphoglycerate dehydrogenase;159.1689;164.9317;105.2162;182.482;141.0241;117.2881;92.6403;80.1197;94.6782;115.664;314.088;137.0556;172.9159;80.7051;130.9447;338.5588;182.5136;161.8904;106.6733;187.3083
O43181;NDUS4_HUMAN;NDUFS4;NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial;;;18.7932;1.5217;;;;14.4002;41.4625;;;;;;;;;6.9094;;
O43242;PSMD3_HUMAN;PSMD3;26S proteasome non-ATPase regulatory subunit 3;;97.0422;77.9307;125.269;132.9351;90.2617;83.699;93.3704;122.3827;;113.1339;92.2254;86.5471;;92.3953;153.8747;95.3811;88.1387;;
O43290;SNUT1_HUMAN;SART1;U4/U6.U5 tri-snRNP-associated protein 1;487.9162;302.0777;466.7778;298.5415;457.1248;576.111;334.8961;416.6609;533.6483;583.8874;351.2361;344.5346;258.061;532.1609;528.851;425.2668;317.3387;248.4242;530.7791;744.5282
O43291;SPIT2_HUMAN;SPINT2;Kunitz-type protease inhibitor 2;280.9764;163.841;80.0434;83.1481;97.5832;72.8959;93.3896;88.2398;56.4477;69.7972;399.0569;460.232;293.069;150.2224;250.2235;584.0287;370.5123;388.4913;182.5408;159.7428
O43301;HS12A_HUMAN;HSPA12A;Heat shock 70 kDa protein 12A;92.8861;41.5072;27.5228;56.7258;99.0903;155.5513;69.7272;39.2045;84.0771;142.9816;133.7818;77.8538;;95.0883;130.8712;;;42.2906;;106.3472
O43324;MCA3_HUMAN;EEF1E1;Eukaryotic translation elongation factor 1 epsilon-1;130.8024;162.8016;120.7366;136.7589;213.533;222.5298;143.9567;129.8636;122.0016;221.376;242.3308;310.9782;183.3039;191.6619;199.3866;263.4742;319.144;235.7337;209.9232;415.5365
O43390;HNRPR_HUMAN;HNRNPR;Heterogeneous nuclear ribonucleoprotein R;405.4617;438.0378;768.0635;427.5046;334.3556;619.4525;528.4299;905.4078;502.3067;427.5143;320.6073;644.1031;780.5782;945.4053;778.4694;258.7988;520.1988;798.1546;950.451;734.874
O43395;PRPF3_HUMAN;PRPF3;U4/U6 small nuclear ribonucleoprotein Prp3;389.1721;220.3017;380.8785;241.9725;402.2642;606.9099;294.8719;329.5374;354.8231;397.8865;335.7331;395.8359;328.5701;432.4647;601.1624;416.9899;343.5303;302.8197;461.3142;618.7898
O43396;TXNL1_HUMAN;TXNL1;Thioredoxin-like protein 1;63.041;47.0288;54.2156;71.5987;91.4038;;35.4326;43.4071;58.3019;45.5225;;16.8548;38.1529;31.0687;47.9059;20.1177;;19.2695;;20.7514
O43399;TPD54_HUMAN;TPD52L2;Tumor protein D54;66.4472;83.9849;85.4655;88.6429;;139.2691;80.6225;84.5491;121.0051;115.1077;115.8326;102.0521;105.2507;80.206;42.9904;137.959;113.8491;82.493;174.6839;106.1899
O43402;EMC8_HUMAN;EMC8;ER membrane protein complex subunit 8;;221.2316;156.2494;;;198.1499;218.0782;177.5196;289.154;230.2074;199.2248;198.1582;220.6676;169.8416;183.6453;234.8154;182.1844;147.7408;;175.0904
O43427;FIBP_HUMAN;FIBP;Acidic fibroblast growth factor intracellular-binding protein;589.1047;887.3771;588.5593;700.5684;653.4085;384.9751;811.9695;731.475;852.355;928.7467;864.7207;825.2263;561.8741;799.8796;498.6718;743.2048;805.077;515.6559;769.4533;624.5633
O43447;PPIH_HUMAN;PPIH;Peptidyl-prolyl cis-trans isomerase H;171.2054;303.1025;240.7298;141.419;181.647;165.1856;318.5918;248.8977;163.5121;302.1295;347.7211;305.55;192.1426;326.1525;334.6789;270.588;332.4746;213.4385;431.9986;253.1749
O43464;HTRA2_HUMAN;HTRA2;Serine protease HTRA2, mitochondrial;;46.8414;60.6666;44.6533;;;39.5036;57.8908;31.9862;;125.364;63.1654;69.924;80.792;79.8571;133.8899;81.2878;57.4751;49.0246;56.1124
O43488;ARK72_HUMAN;AKR7A2;Aflatoxin B1 aldehyde reductase member 2;;88.706;97.6633;61.7212;93.8141;;75.3607;81.8913;83.7827;;97.0962;132.7713;80.6305;77.9728;125.5777;131.6342;105.7838;79.801;92.9428;79.0463
O43491;E41L2_HUMAN;EPB41L2;Band 4.1-like protein 2;455.9593;293.9338;455.4401;419.3826;536.6923;476.2776;329.3132;458.4037;507.4308;601.4921;239.5977;200.8802;192.6537;326.5211;278.8182;296.8516;186.3272;173.0238;302.1667;359.2816
O43493;TGON2_HUMAN;TGOLN2;Trans-Golgi network integral membrane protein 2;18.545;10.8276;25.8772;26.8788;10.2573;;;19.5334;46.7838;12.524;28.971;15.8191;28.1523;24.3314;;57.0373;14.5354;32.9647;26.7053;14.6032
O43504;LTOR5_HUMAN;LAMTOR5;Ragulator complex protein LAMTOR5;220.9104;159.7757;105.4619;155.7763;88.2788;149.9354;161.6102;129.3009;116.4058;62.6079;432.2413;256.822;466.7979;165.594;233.9339;525.8204;333.4977;402.809;193.5921;159.7273
O43556;SGCE_HUMAN;SGCE;Epsilon-sarcoglycan;318.3562;556.7198;506.853;490.626;256.85;272.3155;303.1385;329.2911;345.5943;235.3215;795.4058;659.5289;773.5696;426.3643;452.9955;758.6168;453.7517;926.7869;425.7982;339.623
O43570;CAH12_HUMAN;CA12;Carbonic anhydrase 12;3694.4663;5997.7769;3491.9736;4857.5742;2285.0178;3301.9934;2659.6499;2780.3691;2678.9597;3652.4819;23.7508;;;;;;;;;
O43583;DENR_HUMAN;DENR;Density-regulated protein;;176.3236;75.732;37.8829;;;74.1018;82.1772;88.2958;92.4671;119.469;125.6028;67.0501;70.949;79.447;204.9201;148.7611;80.7268;;75.8624
O43592;XPOT_HUMAN;XPOT;Exportin-T;68.6682;52.41;33.8795;64.421;37.5705;;30.9221;34.0756;85.4697;53.045;56.205;56.0947;54.8472;;72.4072;74.757;50.673;61.9677;48.1105;48.4133
O43617;TPPC3_HUMAN;TRAPPC3;Trafficking protein particle complex subunit 3;125.2885;113.2943;104.8962;116.3943;115.3141;128.7789;105.8321;111.6399;140.8608;129.7055;183.1017;152.925;172.7831;114.2403;146.1939;226.5331;226.0839;152.0899;;150.1059
O43660;PLRG1_HUMAN;PLRG1;Pleiotropic regulator 1;69.0217;73.2366;49.2845;27.9329;53.5964;89.0963;78.0659;41.3831;52.8713;44.6095;32.3684;58.6047;27.0751;58.6586;68.2464;67.2142;46.437;33.6725;48.8697;94.166
O43663;PRC1_HUMAN;PRC1;Protein regulator of cytokinesis 1;85.6723;136.6853;133.4607;79.2491;71.368;;101.4479;88.1617;80.197;;121.5653;120.1419;84.8237;74.0483;124.6012;154.6089;167.6418;129.6834;165.9452;138.81
O43670;ZN207_HUMAN;ZNF207;BUB3-interacting and GLEBS motif-containing protein ZNF207;63.1353;301.0859;276.3755;87.0966;96.5953;;196.4531;324.5825;142.9384;137.1176;396.6991;396.5189;178.2249;172.9072;102.7288;664.4996;431.3472;160.9298;151.9242;122.7295
O43678;NDUA2_HUMAN;NDUFA2;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2;;224.351;118.2654;92.6897;142.504;119.9335;177.6599;143.6626;135.0334;;159.4766;186.8712;113.272;;184.924;200.2713;165.9575;122.6939;124.4461;121.2445
O43681;GET3_HUMAN;GET3;ATPase GET3;199.5546;53.4644;70.1456;87.1252;116.9236;161.4305;82.2025;96.4376;87.2817;102.237;292.6693;119.3816;121.0389;98.9849;155.2025;400.9074;323.6334;89.6372;91.773;128.9137
O43684;BUB3_HUMAN;BUB3;Mitotic checkpoint protein BUB3;154.4563;646.8513;778.3862;223.4019;;173.9474;576.7777;828.9103;233.6405;290.4796;585.6078;689.3397;301.5006;256.317;369.4258;835.8788;612.0327;287.575;264.8956;248.5101
O43707;ACTN4_HUMAN;ACTN4;Alpha-actinin-4;664.8359;347.6759;438.7652;614.185;769.2653;522.3442;502.8506;563.8682;647.5784;608.4225;380.9922;251.8828;444.7247;345.7204;352.1387;376.532;259.1209;297.7288;361.0193;286.2573
O43709;BUD23_HUMAN;BUD23;Probable 18S rRNA (guanine-N(7))-methyltransferase;30.813;49.3683;49.7162;37.1484;50.0839;70.5127;28.696;50.3434;61.0981;38.4019;49.2937;47.3521;47.1056;44.9582;56.9037;84.1548;45.6503;54.8096;19.3546;43.3862
O43747;AP1G1_HUMAN;AP1G1;AP-1 complex subunit gamma-1;61.9684;32.6512;41.2775;49.0695;;58.4488;49.4469;52.5696;68.3359;;64.3275;43.9004;35.2414;;60.2275;41.2916;48.8659;39.8115;86.45;
O43760;SNG2_HUMAN;SYNGR2;Synaptogyrin-2;239.5394;138.8307;106.5171;241.7417;;113.6501;143.2458;141.6061;132.4254;119.5984;108.6668;88.6345;163.6067;117.2315;112.7535;145.6265;118.7586;177.6459;105.032;159.9371
O43765;SGTA_HUMAN;SGTA;Small glutamine-rich tetratricopeptide repeat-containing protein alpha;;94.1279;65.4402;86.804;;;;63.7159;111.1888;100.4616;131.0393;50.6136;74.9461;95.5095;71.5228;397.2805;77.7986;69.0458;68.8466;81.9945
O43790;KRT86_HUMAN;KRT86;Keratin, type II cuticular Hb6;1995.3809;9625.6064;7700.0762;2711.6467;3882.7275;1290.2739;3255.0234;3650.4199;3200.1255;7388.5327;290.7945;175.7861;134.9502;229.7034;215.5067;286.0985;271.4148;158.3093;672.9512;265.7149
O43795;MYO1B_HUMAN;MYO1B;Unconventional myosin-Ib;1845.7596;643.6375;395.141;1644.4885;1555.7805;1430.2136;695.4349;553.4507;1033.7568;1728.5378;318.2343;317.6209;202.3163;254.9908;353.2752;440.7948;267.4185;250.0981;265.5236;329.4395
O43809;CPSF5_HUMAN;NUDT21;Cleavage and polyadenylation specificity factor subunit 5;111.8626;274.0234;603.9896;133.9515;221.717;187.5144;339.1889;328.8508;168.7543;307.6055;382.1373;406.1356;315.559;232.0909;448.259;346.973;439.0967;287.3007;265.4551;444.0583
O43813;LANC1_HUMAN;LANCL1;Glutathione S-transferase LANCL1;259.081;598.8377;377.5488;319.2896;261.1853;352.4213;369.2867;320.119;271.1484;339.4638;283.5195;300.6507;314.1241;217.9996;238.0225;299.0472;286.9128;391.9212;236.5539;160.5473
O43815;STRN_HUMAN;STRN;Striatin;;96.5103;67.5666;77.2856;123.7171;85.8865;73.8646;57.4951;82.301;77.931;114.0239;115.2335;90.4005;88.8423;129.9342;137.4508;105.6739;87.9349;131.7028;117.7882
O43818;U3IP2_HUMAN;RRP9;U3 small nucleolar RNA-interacting protein 2;223.1345;129.9824;148.5006;159.122;325.8495;213.9674;199.1461;195.8518;284.9577;207.3485;165.4615;135.1905;138.8237;257.2806;210.2622;148.438;163.2484;129.6441;269.4554;243.0931
O43823;AKAP8_HUMAN;AKAP8;A-kinase anchor protein 8;;169.8133;169.0817;121.701;135.8025;;166.7787;142.3871;95.0818;124.6033;172.3664;171.1783;115.891;;165.9522;194.202;135.4306;148.2467;149.7803;163.2587
O43837;IDH3B_HUMAN;IDH3B;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;102.5844;448.1275;261.5543;146.8911;158.6391;;248.7347;267.3068;136.1431;174.1836;280.5687;266.7635;166.188;97.149;161.0899;384.6678;227.9588;143.2646;94.4486;116.5853
O43847;NRDC_HUMAN;NRDC;Nardilysin;;;58.1962;55.7328;;;;;43.2465;;56.2516;73.2405;35.1682;;;;56.6416;59.2855;80.7101;
O43852;CALU_HUMAN;CALU;Calumenin;590.9398;544.7631;1063.6094;574.2233;502.1552;418.0484;559.4515;922.2772;578.7092;613.0887;1652.4662;1969.326;1136.5548;1062.1615;1114.2141;1393.3649;1503.0266;1126.2959;940.9844;728.4445
O43865;SAHH2_HUMAN;AHCYL1;S-adenosylhomocysteine hydrolase-like protein 1;178.8768;156.6965;110.5026;110.0586;154.5045;;90.2041;106.3515;113.8678;126.4296;110.7169;99.9598;110.0268;71.8464;80.8898;118.2412;75.6327;71.1017;101.5496;
O43913;ORC5_HUMAN;ORC5;Origin recognition complex subunit 5;169.8707;80.4033;86.9426;195.4579;;;79.7137;111.15;129.3396;;100.8436;121.0598;150.2813;;119.7326;118.5827;47.1344;217.8217;;146.6284
"O56140;O89746;Q9Q0U6";"HEMA_I97A1;HEMA_I97A0;HEMA_I96A0";HA;Hemagglutinin;;;;;;;;;19.4042;;;;;;;;;;;
O60218;AK1BA_HUMAN;AKR1B10;Aldo-keto reductase family 1 member B10;5885.3315;4057.0896;5472.4395;5705.562;3240.8691;4188.937;3701.8442;5099.5698;5620.3594;4867.4692;100.5518;90.7595;202.0527;120.588;98.7207;118.4708;95.7309;103.9283;124.6018;292.3454
O60220;TIM8A_HUMAN;TIMM8A;Mitochondrial import inner membrane translocase subunit Tim8 A;322.8876;131.3463;282.7657;180.997;125.9079;191.6924;205.8209;236.4501;163.8198;201.2193;211.068;151.896;141.1991;144.4497;80.7473;123.6566;170.5204;132.927;180.044;119.7361
O60232;ZNRD2_HUMAN;ZNRD2;Protein ZNRD2;105.7467;101.3959;55.5842;55.4124;119.6675;;;56.678;106.812;129.7686;95.8637;74.5941;41.7062;;163.4615;99.8521;71.2933;67.5868;102.0359;110.5448
O60271;JIP4_HUMAN;SPAG9;C-Jun-amino-terminal kinase-interacting protein 4;61.6341;45.5892;49.9174;59.056;;;42.4453;54.3165;81.4292;53.741;88.1021;74.2784;73.5977;77.2778;86.1489;110.2;76.8411;62.5857;79.9825;
O60306;AQR_HUMAN;AQR;RNA helicase aquarius;558.2573;447.5411;470.3598;365.0816;438.3607;682.2792;443.2069;479.1636;434.2405;380.7887;497.942;486.6849;370.4101;695.6627;658.7084;545.1985;533.9949;391.2611;728.9413;620.9585
O60313;OPA1_HUMAN;OPA1;Dynamin-like GTPase OPA1, mitochondrial;65.8111;104.7052;65.7862;81.2084;86.5539;;83.9822;58.486;179.4211;57.8998;143.4407;112.2352;86.3458;;120.8284;170.119;113.5369;95.6637;;89.0794
O60341;KDM1A_HUMAN;KDM1A;Lysine-specific histone demethylase 1A;41.2886;111.4626;80.3578;74.3299;90.9002;81.3305;97.271;76.329;91.6391;114.304;102.9004;90.3366;71.5242;83.8985;82.7332;112.7971;72.3444;59.3302;79.4294;73.2202
O60353;FZD6_HUMAN;FZD6;Frizzled-6;81.8226;78.4675;77.6579;69.513;;;54.4124;60.8648;81.2982;;331.5003;393.4149;329.8109;171.4612;158.9997;212.8139;235.0503;408.2672;;152.8867
O60437;PEPL_HUMAN;PPL;Periplakin;263.4385;75.699;81.3955;211.9242;667.4336;114.1677;89.8427;82.3064;164.5155;170.0917;247.1705;205.6558;223.7575;215.0335;240.3796;300.3457;198.9174;169.3076;301.3963;179.7348
O60462;NRP2_HUMAN;NRP2;Neuropilin-2;412.0323;987.0397;749.0764;548.837;582.3613;405.2092;531.2551;524.9866;533.9732;579.1872;842.9099;920.3549;856.925;564.7477;875.9321;880.8837;638.2908;747.105;384.6258;546.028
O60504;VINEX_HUMAN;SORBS3;Vinexin;;67.4165;96.0329;64.8465;73.2904;;48.3835;70.0304;57.7992;;134.3471;44.2782;32.4761;;;;39.6629;37.9551;;
O60506;HNRPQ_HUMAN;SYNCRIP;Heterogeneous nuclear ribonucleoprotein Q;1674.6589;1678.9041;2789.5588;1572.6415;1614.8818;2387.197;1975.9412;3315.0925;1987.4417;1854.9504;1845.1461;2452.3179;3230.0918;3217.9121;4293.5166;1497.3877;2091.8162;3192.2825;3120.6418;2800.7012
O60524;NEMF_HUMAN;NEMF;Ribosome quality control complex subunit NEMF;393.9421;307.5889;424.4279;405.3339;556.6526;329.6469;322.1722;425.1344;492.2961;569.0461;239.316;279.418;210.953;372.9777;309.7868;338.239;206.0815;270.4071;331.3484;468.4693
O60568;PLOD3_HUMAN;PLOD3;Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3;94.9825;137.2123;151.7549;95.3368;;124.7951;163.1504;149.7175;128.9637;116.5142;212.2473;204.2318;170.46;138.6828;251.0103;197.3106;184.856;178.2782;157.1758;170.1218
O60645;EXOC3_HUMAN;EXOC3;Exocyst complex component 3;196.5008;128.1887;87.8175;137.2965;135.4477;149.6334;123.4145;101.8603;165.67;193.2536;220.3531;287.6173;179.8405;184.2558;212.0671;216.8841;240.5625;308.8326;153.8205;269.9072
O60658;PDE8A_HUMAN;PDE8A;High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A;;;14.4157;;;;;21.6753;21.2431;;;;;;;;8.2988;14.8653;;
O60664;PLIN3_HUMAN;PLIN3;Perilipin-3;213.7253;332.073;113.8124;279.5714;137.1789;293.0283;140.6648;216.3499;148.1743;135.0109;1133.8851;281.0671;474.5455;187.4431;246.1791;1222.8865;786.8659;317.7471;169.2779;544.0856
O60684;IMA7_HUMAN;KPNA6;Importin subunit alpha-7;;80.7602;64.1712;111.2716;;74.1499;94.4759;80.1841;139.0927;;142.3768;128.1033;97.7459;116.6411;97.8724;113.1223;133.2283;92.7938;142.3799;91.3904
O60701;UGDH_HUMAN;UGDH;UDP-glucose 6-dehydrogenase;315.5803;498.488;492.0876;284.8566;286.4322;331.3666;490.2753;643.3881;287.2648;290.7682;499.4767;400.5996;197.4393;132.5075;146.6047;783.2282;507.1143;196.4566;132.685;203.0518
O60716;CTND1_HUMAN;CTNND1;Catenin delta-1;80.7966;126.8148;88.8212;80.1922;169.271;62.0001;103.7622;79.3169;87.0295;118.7625;279.5515;327.5445;140.2178;115.089;168.9075;405.8109;283.1403;162.2815;106.8962;162.2804
O60762;DPM1_HUMAN;DPM1;Dolichol-phosphate mannosyltransferase subunit 1;248.4164;214.6307;177.1607;228.2209;196.3293;192.2403;151.2974;153.5728;193.4518;223.4109;319.5571;371.3416;355.3447;192.8069;261.5496;353.0745;337.7519;497.4528;198.4731;240.9043
O60783;RT14_HUMAN;MRPS14;Small ribosomal subunit protein uS14m;49.7767;32.9943;40.2853;13.738;;41.6512;30.8814;58.7027;39.4878;14.9499;16.8539;64.1107;26.8631;20.8743;42.7261;22.3109;66.5586;48.3039;;42.5254
O60784;TOM1_HUMAN;TOM1;Target of Myb1 membrane trafficking protein;;122.0014;42.5951;108.8977;211.8436;;64.2255;68.5487;68.9201;213.7515;104.6643;123.355;118.9493;150.2005;;152.5295;101.9662;95.144;;123.7054
"O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880";"H2B1K_HUMAN;H2BFS_HUMAN;H2B1D_HUMAN;H2B1C_HUMAN;H2B2F_HUMAN;H2B1H_HUMAN;H2B1N_HUMAN;H2B1M_HUMAN;H2B1L_HUMAN";"H2BC12;H2BC12L;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13";"Histone H2B type 1-K;Histone H2B type F-S;Histone H2B type 1-D;Histone H2B type 1-C/E/F/G/I;Histone H2B type 2-F;Histone H2B type 1-H;Histone H2B type 1-N;Histone H2B type 1-M;Histone H2B type 1-L";677.6872;337.9399;247.4087;449.2161;742.9464;736.5979;276.7406;321.5174;613.1104;688.5002;296.2127;311.2401;267.5919;449.7287;376.5936;379.9087;285.0526;243.132;385.2871;431.84
O60828;PQBP1_HUMAN;PQBP1;Polyglutamine-binding protein 1;112.4137;414.5471;359.1408;114.0905;278.0833;164.7747;369.1029;379.6838;167.6201;477.5597;459.2145;567.4529;240.9202;335.5851;480.0326;691.6264;507.4749;267.8802;446.6161;334.6657
O60832;DKC1_HUMAN;DKC1;H/ACA ribonucleoprotein complex subunit DKC1;1321.5134;1175.5088;920.8507;1183.4347;1757.4419;1643.3073;1200.6938;1138.2612;1736.7745;1572.1824;804.0944;1025.9659;1044.3452;1702.302;1470.5811;922.3398;1062.6952;1093.4978;1548.5916;1520.6469
